La0.89Sr0.11Mn1O3,54.91,25,24,103.91,20.782,5.45817,24,54.91,30.91,2.1964,2.28792,1.04167,12.45,52,261,325.45,65.09,9.00525,12.45,261,248.55,0.239423,0.0477011,0.199234,133.264,54.938,47.9982,236.2,47.2401,11.3368,47.9982,133.264,85.2659,2.42572,2.77644,1.14459,1177.27,1519,164.4,2860.67,572.134,50.6177,164.4,1519,1354.6,0.77503,7.16101,9.23966,2.89,7,48,57.89,11.578,1.81364,2.89,48,45.11,0.412857,0.0602083,0.145833,5.89,4,6,15.89,3.178,1.08722,4,6,2,1.4725,0.981667,0.666667,205.68,139,198,542.68,108.536,36.7543,139,205.68,66.68,1.47971,1.03879,0.70202,1.0835,1.55,10.32,12.9535,2.5907,0.537983,1.0835,10.32,9.2365,0.699032,0.10499,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.89,5,0,5.89,1.178,INF,0,5,5,0.178,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.89,7,18,27.89,5.578,1.52545,2.89,18,15.11,0.412857,0.160556,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,8.01,5,0,13.01,2.602,INF,0,8.01,8.01,1.602,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,8.01,5,6,19.01,3.802,1.21235,5,8.01,3.01,1.602,1.335,0.833333,38.8041,10.4876,27.315,76.6067,15.3213,4.32992,10.4876,38.8041,28.3165,3.7,1.42061,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,197.41,217,36,450.41,90.082,10.7519,36,217,181,0.909724,5.48361,6.02778
La0.88Sr0.12Mn1O3,54.72,25,24,103.72,20.744,5.45629,24,54.72,30.72,2.1888,2.28,1.04167,12.4,52,261,325.4,65.08,8.97906,12.4,261,248.6,0.238462,0.0475096,0.199234,132.751,54.938,47.9982,235.687,47.1375,11.333,47.9982,132.751,84.753,2.41638,2.76575,1.14459,1175.84,1519,164.4,2859.24,571.848,50.6151,164.4,1519,1354.6,0.774088,7.15231,9.23966,2.88,7,48,57.88,11.576,1.80969,2.88,48,45.12,0.411429,0.06,0.145833,5.88,4,6,15.88,3.176,1.08688,4,6,2,1.47,0.98,0.666667,205.56,139,198,542.56,108.512,36.7505,139,205.56,66.56,1.47885,1.03818,0.70202,1.082,1.55,10.32,12.952,2.5904,0.537613,1.082,10.32,9.238,0.698065,0.104845,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.88,5,0,5.88,1.176,INF,0,5,5,0.176,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.88,7,18,27.88,5.576,1.52266,2.88,18,15.12,0.411429,0.16,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,7.92,5,0,12.92,2.584,INF,0,7.92,7.92,1.584,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,7.92,5,6,18.92,3.784,1.21027,5,7.92,2.92,1.584,1.32,0.833333,38.9774,10.4876,27.315,76.78,15.356,4.33207,10.4876,38.9774,28.4898,3.71653,1.42696,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,197.72,217,36,450.72,90.144,10.7528,36,217,181,0.911152,5.49222,6.02778
La0.875Sr0.125Mn1O3,54.625,25,24,103.625,20.725,5.45534,24,54.625,30.625,2.185,2.27604,1.04167,12.375,52,261,325.375,65.075,8.96595,12.375,261,248.625,0.237981,0.0474138,0.199234,132.495,54.938,47.9982,235.431,47.0862,11.3312,47.9982,132.495,84.4966,2.41171,2.76041,1.14459,1175.12,1519,164.4,2858.53,571.705,50.6138,164.4,1519,1354.6,0.773618,7.14796,9.23966,2.875,7,48,57.875,11.575,1.80772,2.875,48,45.125,0.410714,0.0598958,0.145833,5.875,4,6,15.875,3.175,1.08671,4,6,2,1.46875,0.979167,0.666667,205.5,139,198,542.5,108.5,36.7486,139,205.5,66.5,1.47842,1.03788,0.70202,1.08125,1.55,10.32,12.9512,2.59025,0.537428,1.08125,10.32,9.23875,0.697581,0.104772,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.875,5,0,5.875,1.175,INF,0,5,5,0.175,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.875,7,18,27.875,5.575,1.52126,2.875,18,15.125,0.410714,0.159722,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,7.875,5,0,12.875,2.575,INF,0,7.875,7.875,1.575,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,7.875,5,6,18.875,3.775,1.20921,5,7.875,2.875,1.575,1.3125,0.833333,39.0641,10.4876,27.315,76.8666,15.3733,4.33314,10.4876,39.0641,28.5765,3.72479,1.43013,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,197.875,217,36,450.875,90.175,10.7532,36,217,181,0.911866,5.49653,6.02778
La0.865Sr0.135Mn1O3,54.435,25,24,103.435,20.687,5.45344,24,54.435,30.435,2.1774,2.26812,1.04167,12.325,52,261,325.325,65.065,8.93967,12.325,261,248.675,0.237019,0.0472222,0.199234,131.982,54.938,47.9982,234.918,46.9836,11.3274,47.9982,131.982,83.9837,2.40238,2.74973,1.14459,1173.69,1519,164.4,2857.09,571.419,50.6111,164.4,1519,1354.6,0.772676,7.13926,9.23966,2.865,7,48,57.865,11.573,1.80376,2.865,48,45.135,0.409286,0.0596875,0.145833,5.865,4,6,15.865,3.173,1.08636,4,6,2,1.46625,0.9775,0.666667,205.38,139,198,542.38,108.476,36.7447,139,205.38,66.38,1.47755,1.03727,0.70202,1.07975,1.55,10.32,12.9497,2.58995,0.537057,1.07975,10.32,9.24025,0.696613,0.104627,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.865,5,0,5.865,1.173,INF,0,5,5,0.173,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.865,7,18,27.865,5.573,1.51846,2.865,18,15.135,0.409286,0.159167,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,7.785,5,0,12.785,2.557,INF,0,7.785,7.785,1.557,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,7.785,5,6,18.785,3.757,1.20707,5,7.785,2.785,1.557,1.2975,0.833333,39.2374,10.4876,27.315,77.04,15.408,4.33526,10.4876,39.2374,28.7498,3.74132,1.43648,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,198.185,217,36,451.185,90.237,10.7541,36,217,181,0.913295,5.50514,6.02778
La0.855Sr0.145Mn1O3,54.245,25,24,103.245,20.649,5.45153,24,54.245,30.245,2.1698,2.26021,1.04167,12.275,52,261,325.275,65.055,8.91334,12.275,261,248.725,0.236058,0.0470307,0.199234,131.469,54.938,47.9982,234.405,46.8811,11.3236,47.9982,131.469,83.4709,2.39304,2.73904,1.14459,1172.26,1519,164.4,2855.66,571.133,50.6084,164.4,1519,1354.6,0.771735,7.13057,9.23966,2.855,7,48,57.855,11.571,1.79979,2.855,48,45.145,0.407857,0.0594792,0.145833,5.855,4,6,15.855,3.171,1.08602,4,6,2,1.46375,0.975833,0.666667,205.26,139,198,542.26,108.452,36.7409,139,205.26,66.26,1.47669,1.03667,0.70202,1.07825,1.55,10.32,12.9482,2.58965,0.536686,1.07825,10.32,9.24175,0.695645,0.104482,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.855,5,0,5.855,1.171,INF,0,5,5,0.171,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.855,7,18,27.855,5.571,1.51564,2.855,18,15.145,0.407857,0.158611,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,7.695,5,0,12.695,2.539,INF,0,7.695,7.695,1.539,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,7.695,5,6,18.695,3.739,1.20489,5,7.695,2.695,1.539,1.2825,0.833333,39.4107,10.4876,27.315,77.2133,15.4427,4.33737,10.4876,39.4107,28.9231,3.75784,1.44282,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,198.495,217,36,451.495,90.299,10.7551,36,217,181,0.914724,5.51375,6.02778
La0.845Sr0.155Mn1O3,54.055,25,24,103.055,20.611,5.4496,24,54.055,30.055,2.1622,2.25229,1.04167,12.225,52,261,325.225,65.045,8.88694,12.225,261,248.775,0.235096,0.0468391,0.199234,130.956,54.938,47.9982,233.892,46.7785,11.3198,47.9982,130.956,82.958,2.38371,2.72836,1.14459,1170.83,1519,164.4,2854.24,570.847,50.6058,164.4,1519,1354.6,0.770793,7.12187,9.23966,2.845,7,48,57.845,11.569,1.79581,2.845,48,45.155,0.406429,0.0592708,0.145833,5.845,4,6,15.845,3.169,1.08567,4,6,2,1.46125,0.974167,0.666667,205.14,139,198,542.14,108.428,36.737,139,205.14,66.14,1.47583,1.03606,0.70202,1.07675,1.55,10.32,12.9468,2.58935,0.536314,1.07675,10.32,9.24325,0.694677,0.104336,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.845,5,0,5.845,1.169,INF,0,5,5,0.169,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.845,7,18,27.845,5.569,1.51282,2.845,18,15.155,0.406429,0.158056,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,7.605,5,0,12.605,2.521,INF,0,7.605,7.605,1.521,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,7.605,5,6,18.605,3.721,1.20266,5,7.605,2.605,1.521,1.2675,0.833333,39.584,10.4876,27.315,77.3866,15.4773,4.33946,10.4876,39.584,29.0965,3.77437,1.44917,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,198.805,217,36,451.805,90.361,10.756,36,217,181,0.916152,5.52236,6.02778
La0.835Sr0.165Mn1O3,53.865,25,24,102.865,20.573,5.44766,24,53.865,29.865,2.1546,2.24438,1.04167,12.175,52,261,325.175,65.035,8.86049,12.175,261,248.825,0.234135,0.0466475,0.199234,130.443,54.938,47.9982,233.38,46.6759,11.316,47.9982,130.443,82.4452,2.37437,2.71767,1.14459,1169.4,1519,164.4,2852.8,570.561,50.6031,164.4,1519,1354.6,0.769852,7.11317,9.23966,2.835,7,48,57.835,11.567,1.79182,2.835,48,45.165,0.405,0.0590625,0.145833,5.835,4,6,15.835,3.167,1.08533,4,6,2,1.45875,0.9725,0.666667,205.02,139,198,542.02,108.404,36.7332,139,205.02,66.02,1.47496,1.03545,0.70202,1.07525,1.55,10.32,12.9453,2.58905,0.535942,1.07525,10.32,9.24475,0.69371,0.104191,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.835,5,0,5.835,1.167,INF,0,5,5,0.167,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.835,7,18,27.835,5.567,1.50999,2.835,18,15.165,0.405,0.1575,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,7.515,5,0,12.515,2.503,INF,0,7.515,7.515,1.503,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,7.515,5,6,18.515,3.703,1.20038,5,7.515,2.515,1.503,1.2525,0.833333,39.7574,10.4876,27.315,77.5599,15.512,4.34154,10.4876,39.7574,29.2698,3.7909,1.45551,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,199.115,217,36,452.115,90.423,10.7569,36,217,181,0.917581,5.53097,6.02778
La0.83Sr0.17Mn1O3,53.77,25,24,102.77,20.554,5.44669,24,53.77,29.77,2.1508,2.24042,1.04167,12.15,52,261,325.15,65.03,8.84724,12.15,261,248.85,0.233654,0.0465517,0.199234,130.187,54.938,47.9982,233.123,46.6246,11.314,47.9982,130.187,82.1887,2.3697,2.71233,1.14459,1168.69,1519,164.4,2852.09,570.418,50.6018,164.4,1519,1354.6,0.769381,7.10882,9.23966,2.83,7,48,57.83,11.566,1.78982,2.83,48,45.17,0.404286,0.0589583,0.145833,5.83,4,6,15.83,3.166,1.08516,4,6,2,1.4575,0.971667,0.666667,204.96,139,198,541.96,108.392,36.7313,139,204.96,65.96,1.47453,1.03515,0.70202,1.0745,1.55,10.32,12.9445,2.5889,0.535755,1.0745,10.32,9.2455,0.693226,0.104118,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.83,5,0,5.83,1.166,INF,0,5,5,0.166,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.83,7,18,27.83,5.566,1.50857,2.83,18,15.17,0.404286,0.157222,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,7.47,5,0,12.47,2.494,INF,0,7.47,7.47,1.494,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,7.47,5,6,18.47,3.694,1.19923,5,7.47,2.47,1.494,1.245,0.833333,39.844,10.4876,27.315,77.6466,15.5293,4.34257,10.4876,39.844,29.3564,3.79916,1.45869,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,199.27,217,36,452.27,90.454,10.7573,36,217,181,0.918295,5.53528,6.02778
La0.825Sr0.175Mn1O3,53.675,25,24,102.675,20.535,5.44571,24,53.675,29.675,2.147,2.23646,1.04167,12.125,52,261,325.125,65.025,8.83398,12.125,261,248.875,0.233173,0.0464559,0.199234,129.931,54.938,47.9982,232.867,46.5734,11.3121,47.9982,129.931,81.9323,2.36504,2.70699,1.14459,1167.97,1519,164.4,2851.38,570.275,50.6004,164.4,1519,1354.6,0.76891,7.10447,9.23966,2.825,7,48,57.825,11.565,1.78782,2.825,48,45.175,0.403571,0.0588542,0.145833,5.825,4,6,15.825,3.165,1.08498,4,6,2,1.45625,0.970833,0.666667,204.9,139,198,541.9,108.38,36.7293,139,204.9,65.9,1.4741,1.03485,0.70202,1.07375,1.55,10.32,12.9438,2.58875,0.535569,1.07375,10.32,9.24625,0.692742,0.104046,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.825,5,0,5.825,1.165,INF,0,5,5,0.165,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.825,7,18,27.825,5.565,1.50715,2.825,18,15.175,0.403571,0.156944,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,7.425,5,0,12.425,2.485,INF,0,7.425,7.425,1.485,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,7.425,5,6,18.425,3.685,1.19806,5,7.425,2.425,1.485,1.2375,0.833333,39.9307,10.4876,27.315,77.7333,15.5467,4.3436,10.4876,39.9307,29.4431,3.80742,1.46186,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,199.425,217,36,452.425,90.485,10.7578,36,217,181,0.919009,5.53958,6.02778
La0.72Sr0.28Mn1O3,51.68,25,24,100.68,20.136,5.42447,24,51.68,27.68,2.0672,2.15333,1.04167,11.6,52,261,324.6,64.92,8.55198,11.6,261,249.4,0.223077,0.0444444,0.199234,124.546,54.938,47.9982,227.482,45.4964,11.2697,47.9982,124.546,76.5473,2.26702,2.5948,1.14459,1152.96,1519,164.4,2836.36,567.272,50.5719,164.4,1519,1354.6,0.759026,7.01314,9.23966,2.72,7,48,57.72,11.544,1.74519,2.72,48,45.28,0.388571,0.0566667,0.145833,5.72,4,6,15.72,3.144,1.08129,4,6,2,1.43,0.953333,0.666667,203.64,139,198,540.64,108.128,36.6886,139,203.64,64.64,1.46504,1.02848,0.70202,1.058,1.55,10.32,12.928,2.5856,0.531621,1.058,10.32,9.262,0.682581,0.102519,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.72,5,0,5.72,1.144,INF,0,5,5,0.144,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.72,7,18,27.72,5.544,1.47673,2.72,18,15.28,0.388571,0.151111,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,6.48,5,0,11.48,2.296,INF,0,6.48,6.48,1.296,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,6.48,5,6,17.48,3.496,1.17052,5,6.48,1.48,1.296,1.08,0.833333,41.7506,10.4876,27.315,79.5532,15.9106,4.36429,10.4876,41.7506,31.263,3.98095,1.52849,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,202.68,217,36,455.68,91.136,10.7671,36,217,181,0.934009,5.63,6.02778
La0.69Sr0.31Mn1O3,51.11,25,24,100.11,20.022,5.41813,24,51.11,27.11,2.0444,2.12958,1.04167,11.45,52,261,324.45,64.89,8.47018,11.45,261,249.55,0.220192,0.0438697,0.199234,123.007,54.938,47.9982,225.943,45.1886,11.2569,47.9982,123.007,75.0088,2.23901,2.56274,1.14459,1148.67,1519,164.4,2832.07,566.414,50.5636,164.4,1519,1354.6,0.756201,6.98704,9.23966,2.69,7,48,57.69,11.538,1.73279,2.69,48,45.31,0.384286,0.0560417,0.145833,5.69,4,6,15.69,3.138,1.08021,4,6,2,1.4225,0.948333,0.666667,203.28,139,198,540.28,108.056,36.6769,139,203.28,64.28,1.46245,1.02667,0.70202,1.0535,1.55,10.32,12.9235,2.5847,0.530483,1.0535,10.32,9.2665,0.679677,0.102083,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.69,5,0,5.69,1.138,INF,0,5,5,0.138,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.69,7,18,27.69,5.538,1.46784,2.69,18,15.31,0.384286,0.149444,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,6.21,5,0,11.21,2.242,INF,0,6.21,6.21,1.242,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,6.21,5,6,17.21,3.442,1.1614,5,6.21,1.21,1.242,1.035,0.833333,42.2706,10.4876,27.315,80.0732,16.0146,4.36991,10.4876,42.2706,31.783,4.03053,1.54752,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,203.61,217,36,456.61,91.322,10.7697,36,217,181,0.938295,5.65583,6.02778
La0.64Sr0.36Mn1O3,50.16,25,24,99.16,19.832,5.40727,24,50.16,26.16,2.0064,2.09,1.04167,11.2,52,261,324.2,64.84,8.33259,11.2,261,249.8,0.215385,0.0429119,0.199234,120.443,54.938,47.9982,223.379,44.6758,11.235,47.9982,120.443,72.4445,2.19234,2.50932,1.14459,1141.52,1519,164.4,2824.92,564.984,50.5497,164.4,1519,1354.6,0.751494,6.94355,9.23966,2.64,7,48,57.64,11.528,1.7119,2.64,48,45.36,0.377143,0.055,0.145833,5.64,4,6,15.64,3.128,1.07839,4,6,2,1.41,0.94,0.666667,202.68,139,198,539.68,107.936,36.6574,139,202.68,63.68,1.45813,1.02364,0.70202,1.046,1.55,10.32,12.916,2.5832,0.528574,1.046,10.32,9.274,0.674839,0.101357,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.64,5,0,5.64,1.128,INF,0,5,5,0.128,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.64,7,18,27.64,5.528,1.45283,2.64,18,15.36,0.377143,0.146667,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,5.76,5,0,10.76,2.152,INF,0,5.76,5.76,1.152,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,5.76,5,6,16.76,3.352,1.14467,5,6,1,1.152,0.96,0.833333,43.1372,10.4876,27.315,80.9398,16.188,4.379,10.4876,43.1372,32.6496,4.11317,1.57925,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,205.16,217,36,458.16,91.632,10.774,36,217,181,0.945438,5.69889,6.02778
La0.52Sr0.48Mn1O3,47.88,25,24,96.88,19.376,5.37965,24,47.88,23.88,1.9152,1.995,1.04167,10.6,52,261,323.6,64.72,7.99586,10.6,261,250.4,0.203846,0.040613,0.199234,114.288,54.938,47.9982,217.225,43.4449,11.1789,47.9982,114.288,66.2902,2.08032,2.3811,1.14459,1124.36,1519,164.4,2807.76,561.552,50.5155,164.4,1519,1354.6,0.740197,6.83917,9.23966,2.52,7,48,57.52,11.504,1.66063,2.52,48,45.48,0.36,0.0525,0.145833,5.52,4,6,15.52,3.104,1.07393,4,6,2,1.38,0.92,0.666667,201.24,139,198,538.24,107.648,36.61,139,201.24,62.24,1.44777,1.01636,0.70202,1.028,1.55,10.32,12.898,2.5796,0.523938,1.028,10.32,9.292,0.663226,0.0996124,0.150194,2,2,6,10,2,0.666667,2,6,4,1,0.333333,0.333333,0,0,12,12,2.4,INF,0,12,12,INF,0,0,0.52,5,0,5.52,1.104,INF,0,5,5,0.104,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,2.52,7,18,27.52,5.504,1.41573,2.52,18,15.48,0.36,0.14,0.388889,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0,6,6,1.2,INF,0,6,6,INF,0,0,4.68,5,0,9.68,1.936,INF,0,5,5,0.936,INF,INF,0,0,0,0,0,INF,0,0,0,INF,INF,INF,4.68,5,6,15.68,3.136,1.09448,4.68,6,1.32,0.936,0.78,0.833333,45.2171,10.4876,27.315,83.0197,16.6039,4.39955,10.4876,45.2171,34.7295,4.31149,1.65539,0.38395,0,0,0,0,0,INF,0,0,0,INF,INF,INF,0,0.000310121,0,0.000310121,6.20E-05,INF,0,0.000310121,0.000310121,0,INF,INF,208.88,217,36,461.88,92.376,10.7841,36,217,181,0.962581,5.80222,6.02778
